pvote,wc,south,dem,te,censor
0.620000005,0.003442,0,0,26,0
0.620000005,0.010986,0,0,50,1
0.589999974,0.142588004,1,0,26,0
0.589999974,0.158570006,1,0,53,0
0.589999974,0.202870995,1,0,65,0
0.589999974,0.217207,1,0,75,0
0.939999998,0.432525009,1,0,26,0
0.939999998,0.451756001,1,0,53,0
0.939999998,0.405023009,1,0,61,0
0.730000019,0.030152,1,1,26,0
0.730000019,0.072089002,1,1,53,0
0.730000019,0.090218,1,1,61,0
0.959999979,0.511511028,1,1,26,0
0.959999979,0.563036978,1,1,53,0
0.959999979,0.558185995,1,1,65,0
0.959999979,0.567032993,1,1,75,0
0.660000026,0.281976998,1,1,26,0
0.660000026,0.311349988,1,1,53,0
0.660000026,0.310184985,1,1,65,0
0.660000026,0.354562998,1,1,75,0
0.670000017,0.087587997,1,1,26,0
0.670000017,0.125271007,1,1,53,0
0.670000017,0.164531007,1,1,65,0
0.670000017,0.175205007,1,1,68,0
1,0.039476998,1,1,26,0
1,0.046769999,1,1,46,0
0.74000001,0.347779989,1,0,26,0
0.74000001,0.403845996,1,0,53,0
0.74000001,0.407204002,1,0,65,0
0.74000001,0.471639991,1,0,66,0
0.689999998,0.350430012,1,1,26,0
0.689999998,0.354193985,1,1,53,0
0.689999998,0.315373003,1,1,65,0
0.689999998,0.350452006,1,1,74,0
0.720000029,0.011031,0,0,26,0
0.720000029,0.015541,0,0,53,0
0.720000029,0.057985999,0,0,65,0
0.720000029,0.047403,0,0,78,0
0.720000029,0.010157,0,0,89,0
0.730000019,0.050310999,0,1,26,0
0.730000019,0.075879,0,1,53,0
0.730000019,0.069753997,0,1,65,0
0.730000019,0.087732002,0,1,71,0
0.680000007,0.132231995,0,0,26,0
0.680000007,0.131034002,0,0,53,0
0.680000007,0.176928997,0,0,65,0
0.680000007,0.210143998,0,0,75,0
0.870000005,0.219279006,0,0,26,0
0.870000005,0.235984996,0,0,53,0
0.870000005,0.395033002,0,0,56,0
0.670000017,0.018468,0,0,26,0
0.670000017,0.017013,0,0,53,0
0.670000017,0.021153999,0,0,65,0
0.670000017,0.042633999,0,0,78,0
0.670000017,0.063366003,0,0,89,0
0.620000005,0.006686,0,1,26,0
0.620000005,0.008179,0,1,31,1
0.579999983,0.032457002,0,0,26,0
0.579999983,0.088656001,0,0,53,0
0.579999983,0.114643,0,0,65,0
0.579999983,0.160114005,0,0,68,0
0.709999979,0.777360022,0,1,10,0
0.99000001,0.500064015,0,1,26,0
0.99000001,0.50286299,0,1,53,0
0.99000001,0.510455012,0,1,56,0
0.75999999,0.048106,0,1,26,0
0.75999999,0.081231996,0,1,53,0
0.75999999,0.229485005,0,1,61,0
0.730000019,0.256011009,0,1,26,0
0.730000019,0.315483004,0,1,53,0
0.730000019,0.342997998,0,1,63,0
0.680000007,0.464267999,0,1,26,0
0.680000007,0.480017006,0,1,53,0
0.680000007,0.477423012,0,1,63,0
0.550000012,0.111400001,0,1,26,0
0.550000012,0.097549997,0,1,53,0
0.550000012,0.112273,0,1,65,0
0.550000012,0.086057998,0,1,75,0
0.720000029,0.209027007,0,1,26,0
0.720000029,0.243198007,0,1,53,0
0.720000029,0.247213006,0,1,55,0
0.860000014,0.024604,0,1,26,0
0.860000014,0.043653,0,1,53,0
0.860000014,0.020780999,0,1,65,0
0.860000014,0.069799997,0,1,75,0
0.699999988,0.470182002,0,1,26,0
0.50999999,0.148543999,0,0,26,0
0.50999999,0.218990996,0,0,53,0
0.50999999,0.286235988,0,0,65,0
0.50999999,0.478374004,0,0,75,0
0.670000017,0.333748013,0,1,26,0
0.670000017,0.368526012,0,1,53,0
0.670000017,0.331946999,0,1,65,0
0.670000017,0.360251009,0,1,75,0
0.660000026,0.008612,0,1,26,0
0.790000021,0.167969003,0,1,26,0
0.790000021,0.147036999,0,1,53,0
0.790000021,0.164969996,0,1,65,0
0.790000021,0.198607996,0,1,72,1
0.709999979,0.044091001,0,0,19,0
0.689999998,0.096139997,0,1,26,0
0.689999998,0.101175003,0,1,53,0
0.689999998,0.090554997,0,1,65,0
0.689999998,0.127525002,0,1,75,0
0.5,0.108419001,0,0,26,0
0.5,0.121893004,0,0,53,0
0.709999979,0.163551003,0,0,26,0
0.709999979,0.187683001,0,0,53,0
0.709999979,0.158756003,0,0,65,0
0.709999979,0.201291993,0,0,75,0
0.689999998,0.182124004,0,0,26,0
0.689999998,0.173008993,0,0,52,0
0.689999998,0.616181016,0,0,26,0
0.689999998,0.720386028,0,0,53,0
0.689999998,0.702952027,0,0,61,0
0.629999995,0.008706,0,1,17,0
0.720000029,0.255632013,0,1,26,0
0.720000029,0.465297014,0,1,53,0
0.720000029,0.489695013,0,1,62,0
0.850000024,0.137474999,0,1,26,0
0.850000024,0.197879001,0,1,53,0
0.850000024,0.198018998,0,1,65,0
0.850000024,0.196431994,0,1,75,0
0.699999988,0.108397,0,1,26,0
0.699999988,0.313300014,0,1,53,0
0.699999988,0.307341009,0,1,65,0
0.699999988,0.274309009,0,1,75,0
0.670000017,1.418380022,0,1,26,0
0.670000017,1.485730052,0,1,53,0
0.670000017,1.563989997,0,1,59,0
0.75999999,0.077895999,0,1,26,0
0.75999999,0.074156001,0,1,53,0
0.75999999,0.067469001,0,1,65,0
0.75999999,0.115419,0,1,67,0
0.589999974,0.056906,0,1,13,0
0.709999979,0.011425,0,1,26,0
0.709999979,0.005727,0,1,53,0
0.709999979,0.018851001,0,1,65,0
0.709999979,0.000921,0,1,75,1
0.660000026,0.152913004,0,1,26,0
0.660000026,0.147259995,0,1,39,0
0.689999998,1.28918004,0,0,26,0
0.689999998,1.45709002,0,0,53,0
0.689999998,1.450270057,0,0,65,0
0.689999998,1.514660001,0,0,67,0
0.629999995,0.184201002,0,1,26,0
0.629999995,0.175785005,0,1,53,0
0.629999995,0.172912002,0,1,61,0
0.699999988,0.109981,0,0,26,0
0.699999988,0.137805,0,0,53,0
0.699999988,0.130696997,0,0,56,0
0.540000021,0.003538,0,1,26,0
0.540000021,0.056260001,0,1,53,0
0.540000021,0.11135,0,1,63,1
0.639999986,0.055801,0,0,26,0
0.639999986,0.044039998,0,0,53,0
0.639999986,0.036975998,0,0,61,0
0.589999974,0.072893001,0,0,26,0
0.589999974,0.0298,0,0,53,0
0.589999974,0.062573999,0,0,65,0
0.589999974,0.093000002,0,0,75,0
0.730000019,0.050855,0,0,26,0
0.730000019,0.038741998,0,0,53,0
0.730000019,0.048209999,0,0,65,0
0.730000019,0.070798002,0,0,75,1
0.670000017,0.012109,0,0,26,0
0.670000017,0.027791999,0,0,53,0
0.670000017,0.009084,0,0,64,0
0.660000026,0.139893994,0,0,1,0
0.639999986,0.058687001,0,0,26,0
0.639999986,0.102248996,0,0,53,0
0.639999986,0.095051996,0,0,65,0
0.639999986,0.073880002,0,0,71,0
0.709999979,0.165490001,0,0,26,0
0.709999979,0.166583002,0,0,53,0
0.709999979,0.156742007,0,0,65,0
0.709999979,0.192104995,0,0,75,0
0.589999974,0.028915999,0,1,14,0
0.74000001,0.061875001,0,0,26,0
0.74000001,0.051383998,0,0,53,0
0.74000001,0.025056001,0,0,65,0
0.74000001,0.020865001,0,0,75,0
0.689999998,0.250054002,0,1,26,0
0.689999998,0.255297005,0,1,53,0
0.689999998,0.274958998,0,1,55,0
0.620000005,0.023642,0,1,26,0
0.620000005,0.057045002,0,1,46,0
0.779999971,0.030270001,0,1,20,0
0.75,0.074721999,0,0,26,0
0.75,0.066643,0,0,53,0
0.75,0.085795999,0,0,65,0
0.75,0.084053002,0,0,78,0
0.75,0.103009,0,0,79,0
0.629999995,0.030529,0,0,26,0
0.629999995,0.081923999,0,0,53,0
0.629999995,0.085001998,0,0,65,0
0.629999995,0.113329999,0,0,78,0
0.629999995,0.120784998,0,0,85,0
0.769999981,0.140582994,0,1,26,0
0.769999981,0.279330999,0,1,53,0
0.769999981,0.278950989,0,1,65,0
0.769999981,0.357437015,0,1,78,0
0.769999981,0.361692995,0,1,89,0
0.629999995,0.012006,0,1,26,0
0.629999995,0.010172,0,1,53,0
0.629999995,0.010465,0,1,65,0
0.629999995,0.077464998,0,1,73,0
0.709999979,0.035873,0,0,26,0
